Maturity;Strike;IV
43572;0.125;0.663439398306983
43572;0.13;0.712058044427482
43572;0.135;0.775268297560295
43572;0.14;0.797858115199031
43572;0.145;0.866039353761885
43572;0.15;0.91216253157235
43572;0.16;1.02391079175058
43572;0.17;1.08983256297719
43572;0.18;1.17187343040933
43572;0.19;1.23892418688241
43572;0.2;1.24701435672976
43572;0.21;1.25072769338736
43572;0.22;1.30554945988909
43607;0.13;0.457718982960243
43607;0.135;0.494994518983026
43607;0.14;0.529973341095447
43607;0.145;0.543659309293964
43607;0.15;0.606901346663012
43607;0.16;0.6598779663662
43607;0.17;0.715904310970376
43607;0.18;0.778164268442735
43607;0.19;0.81899813999931
43607;0.2;0.855260347266192
43607;0.21;0.886320259968111
43607;0.22;0.915547399473567
43607;0.23;0.962181425879115
43607;0.24;0.96756632325428
43607;0.25;0.995772421416407
43607;0.26;1.01614646963171
43607;0.27;1.02848645265421
43607;0.28;1.03208334734737
43607;0.29;1.02537270857458
43607;0.3;1.00493706682533
43607;0.32;0.99792462936464
43607;0.325;1.0155948276963
43607;0.34;1.06656222373151
43607;0.35;1.05784445520221
43635;0.125;0.421172487845437
43635;0.13;0.458554770759096
43635;0.135;0.465985349536484
43635;0.14;0.506633814902608
43635;0.145;0.525982264162133
43635;0.15;0.550714179482482
43635;0.16;0.604311763163041
43635;0.17;0.651191532084858
43635;0.18;0.696689846225616
43635;0.19;0.7352477467859
43635;0.2;0.75286990169719
43635;0.21;0.784508980452228
43635;0.22;0.804898248891988
43635;0.23;0.837004126541335
43635;0.24;0.850224020992958
43635;0.25;0.87954706560601
43635;0.26;0.890146167396111
43635;0.27;0.895113112029099
43635;0.28;0.907607143305448
43635;0.29;0.914903902952479
43635;0.3;0.916625707465056
43635;0.32;0.944422020302676
43635;0.325;0.914923900787372
43635;0.34;0.936285572735078
43635;0.35;0.93161617229448
43635;0.36;0.957636879635033
43635;0.375;0.920848909226973
43635;0.38;0.932308120780523
43635;0.4;0.976328587756247
43663;0.125;0.401267320970353
43663;0.13;0.41914189077678
43663;0.135;0.442724366859131
43663;0.14;0.45943177703072
43663;0.145;0.489957870093861
43663;0.15;0.507511672486693
43663;0.16;0.553154927429852
43663;0.17;0.591469056419766
43663;0.18;0.630382698588513
43663;0.19;0.659964253172935
43663;0.2;0.683111142742211
43663;0.21;0.696178189753013
43663;0.22;0.72347665681662
43663;0.23;0.74336687027646
43663;0.24;0.756318531730058
43663;0.25;0.772961412273931
43663;0.26;0.794620107066981
43663;0.27;0.812255465620406
43663;0.28;0.813336285103686
43663;0.29;0.822290238595025
43663;0.3;0.827132127353442
43663;0.32;0.841596326457197
43663;0.325;0.820813729805032
43663;0.34;0.819730273091716
43663;0.35;0.843557603299526
43663;0.36;0.818550272032178
43663;0.375;0.850401395973113
43663;0.38;0.860658835929756
43663;0.4;0.834392718540464
43663;0.42;0.869685759849397
43663;0.425;0.878186074778801
43698;0.12;0.349399633244461
43698;0.125;0.350652868373959
43698;0.13;0.390277394307713
43698;0.135;0.406667864658725
43698;0.14;0.419027429654306
43698;0.145;0.444170729465052
43698;0.15;0.465695492873408
43698;0.16;0.510825658435709
43698;0.17;0.547669028046329
43698;0.18;0.573141769079058
43698;0.19;0.59664946591129
43698;0.2;0.618853591978342
43698;0.21;0.629010857778282
43698;0.22;0.64748773817846
43698;0.23;0.666487376696858
43698;0.24;0.679788047022724
43698;0.25;0.68761984675932
43698;0.26;0.707711513148189
43698;0.27;0.715561195633822
43698;0.28;0.728709754767575
43698;0.29;0.73873393734322
43698;0.3;0.745641978615615
43698;0.32;0.749657229340596
43698;0.325;0.747117563716637
43698;0.34;0.75203551617154
43698;0.35;0.759458116624
43698;0.36;0.744688577627993
43698;0.375;0.730984111486984
43698;0.38;0.739852316625581
43698;0.4;0.71742843430203
43698;0.42;0.747937527176964
43698;0.425;0.755285458500007
43726;0.12;0.320774016259326
43726;0.125;0.350541694296057
43726;0.13;0.358588952543823
43726;0.135;0.382120503296458
43726;0.14;0.4003625045974
43726;0.145;0.422105928780389
43726;0.15;0.43485185573924
43726;0.16;0.473236059565395
43726;0.17;0.507393249821101
43726;0.18;0.534021056638327
43726;0.19;0.553841065247735
43726;0.2;0.575000636876662
43726;0.21;0.577559906340418
43726;0.22;0.599256860229811
43726;0.23;0.617374981964474
43726;0.24;0.62350064348635
43726;0.25;0.638586850091482
43726;0.26;0.650124046843588
43726;0.27;0.657344597557077
43726;0.28;0.669813643626404
43726;0.29;0.679479143464272
43726;0.3;0.686362980239723
43726;0.32;0.691457600749161
43726;0.325;0.691817982010753
43726;0.34;0.698262795895616
43726;0.35;0.689964643095727
43726;0.36;0.690594476471359
43726;0.375;0.702573293068647
43726;0.38;0.672330926848594
43726;0.4;0.671000321425717
43726;0.42;0.679877016256478
43726;0.425;0.686579194075442
43754;0.12;0.298750084398055
43754;0.125;0.326566890550304
43754;0.13;0.334227591561237
43754;0.135;0.356264646589265
43754;0.14;0.373402962251432
43754;0.145;0.387467463623546
43754;0.15;0.411642616297518
43754;0.16;0.444679149958392
43754;0.17;0.484445368680987
43754;0.18;0.509635490825294
43754;0.19;0.52870177424797
43754;0.2;0.543788067409833
43754;0.21;0.550864474519974
43754;0.22;0.556410352676447
43754;0.23;0.567576080453475
43754;0.24;0.57979080719221
43754;0.25;0.587520813352035
43754;0.26;0.605285365546824
43754;0.27;0.620279144906325
43754;0.28;0.632672419389704
43754;0.29;0.634640617288823
43754;0.3;0.641705685023384
43754;0.32;0.648243959214416
43754;0.325;0.658592979257363
43754;0.34;0.654242411971031
43754;0.35;0.661770869611951
43754;0.36;0.653137298969987
43754;0.375;0.647717407528698
43754;0.38;0.655453451115811
43754;0.4;0.648594754795996
43754;0.42;0.626993540880868
43754;0.425;0.633195578693125
43754;0.44;0.651276821420312
