date;price
40400;2800.02
40401;2724.16
40402;2720.85
40403;2708.73
40406;2698.29
40407;2737.69
40408;2728.66
40409;2675.02
40410;2643.98
40413;2660.84
40414;2614.54
40415;2587.4
40416;2606.89
40417;2630.35
40420;2616.57
40421;2622.95
40422;2715.27
40423;2715.19
40424;2746.23
40427;2753.6
40428;2727.16
40429;2752.89
40430;2782.43
40431;2780.4
40434;2805.06
40435;2806.47
40436;2794.36
40437;2784.61
40438;2757.37
40441;2802.67
40442;2794.55
40443;2752.77
40444;2738.61
40445;2792.75
40448;2776.33
40449;2774.62
40450;2752.71
40451;2747.9
40452;2732.91
40455;2701.02
40456;2758.56
40457;2780
40458;2786.88
40459;2785.43
40462;2789.72
40463;2775.75
40464;2840.55
40465;2836.11
40466;2841.65
40469;2850.72
40470;2837.33
40471;2851.52
40472;2882.29
40473;2873.74
40476;2871.48
40477;2856.31
40478;2829.42
40479;2845.53
40480;2844.99
40483;2836.73
40484;2861.01
40485;2830.43
40486;2884.21
40487;2875.94
40490;2867.96
40491;2890.64
40492;2845.93
40493;2831.22
40494;2822.43
40497;2848.45
40498;2781.77
40499;2802.7
40500;2855.23
40501;2845.75
40504;2811.43
40505;2739.37
40506;2758.02
40507;2765.05
40508;2736.96
40511;2669.96
40512;2650.99
40513;2721.87
40514;2781.39
40515;2782.39
40518;2769.96
40519;2802.74
40520;2818.95
40521;2840.71
40522;2839.53
40525;2855.37
40526;2861.67
40527;2841.99
40528;2845.78
40529;2821.77
40532;2839.22
40533;2876.99
40534;2869.63
40535;2864.52
40536;2861.94
40539;2826.51
40540;2824.3
40541;2841.23
40542;2807.04
40543;2792.82
40546;2839.43
40547;2844.17
40548;2833.74
40549;2836.23
40550;2808.25
40553;2760.88
40554;2796.6
40555;2879.11
40556;2915.62
40557;2920.4
40560;2910.63
40561;2945.62
40562;2923.76
40563;2927.42
40564;2970.56
40567;2979.06
40568;2957.78
40569;2967.78
40570;2989.75
40571;2954.13
40574;2953.63
40575;3006.81
40576;3012.7
40577;2995.49
40578;3003.19
40581;3031.18
40582;3042.5
40583;3031.62
40584;3025.68
40585;3024.37
40588;3018.38
40589;3030.46
40590;3061.92
40591;3064.54
40592;3068
40595;3012.34
40596;2983.33
40597;2954.92
40598;2949.13
40599;2985.02
40602;3013.09
40603;2983.27
40604;2958.8
40605;2969.24
40606;2949.18
40609;2931.42
40610;2945.42
40611;2935.11
40612;2909.73
40613;2883.84
40616;2852.11
40617;2784.2
40618;2721.24
40619;2786.16
40620;2792.61
40623;2860.81
40624;2854.79
40625;2866.23
40626;2909.78
40627;2911.33
40630;2914.76
40631;2910.93
40632;2936.44
40633;2910.91
40634;2962.92
40637;2955.84
40638;2950.96
40639;2971.48
40640;2963.69
40641;2984.66
40644;2974.58
40645;2932.33
40646;2949.98
40647;2917.72
40648;2919.05
40651;2847.96
40652;2857.61
40653;2921.43
40654;2936.3
40659;2955.36
40660;2977.59
40661;3005.33
40662;3011.25
40665;3008.89
40666;3000.39
40667;2952.02
40668;2926.54
40669;2952.9
40672;2902.4
40673;2939.02
40674;2942.43
40675;2917.05
40676;2894.6
40679;2881.31
40680;2849.6
40681;2867.3
40682;2890.6
40683;2853.98
40686;2794.26
40687;2801.27
40688;2816.84
40689;2799.82
40690;2819.4
40693;2814.34
40694;2861.92
40695;2827.66
40696;2782.57
40697;2789.11
40700;2765.33
40701;2774.5
40702;2752.06
40703;2778.12
40704;2732.54
40707;2733.95
40708;2779.94
40709;2731.5
40710;2730.62
40711;2770.12
40714;2748.01
40715;2801.99
40716;2795.07
40717;2730.86
40718;2715.88
40721;2723.93
40722;2750.49
40723;2802.55
40724;2848.53
40725;2875.67
40728;2870.19
40729;2850.51
40730;2832.63
40731;2844.51
40732;2790.09
40735;2709.14
40736;2693.53
40737;2715.05
40738;2695.29
40739;2675.38
40742;2622.36
40743;2657.45
40744;2705.75
40745;2763.34
40746;2772.6
40749;2742.7
40750;2739.65
40751;2693.71
40752;2692.76
40753;2670.37
40756;2593.34
40757;2544.89
40758;2497.83
40759;2412.29
40760;2375.15
40763;2286.91
40764;2294.24
40765;2153.77
40766;2215.45
40767;2307.33
40770;2324.48
40771;2323.67
40772;2331.12
40773;2206.61
40774;2159.07
40777;2183.39
40778;2199.98
40779;2238.7
40780;2216.7
40781;2190.44
40784;2239.3
40785;2239.14
40786;2302.08
40787;2305.75
40788;2220.72
40791;2107.27
40792;2080.1
40793;2151.16
40794;2163.4
40795;2073.67
40798;1995.01
40799;2036.64
40800;2083.38
40801;2155.62
40802;2159.28
40805;2096.1
40806;2140.41
40807;2098.49
40808;1995.75
40809;2026.03
40812;2083.35
40813;2194.03
40814;2176.64
40815;2212.44
40816;2179.66
40819;2138.24
40820;2091.09
40821;2179.42
40822;2248.78
40823;2269.19
40826;2320.8
40827;2315.97
40828;2372.15
40829;2332.52
40830;2355.48
40833;2315.89
40834;2306.81
40835;2330.08
40836;2271.77
40837;2337.51
40840;2369.07
40841;2343.96
40842;2335.06
40843;2476.92
40844;2462.36
40847;2385.22
40848;2259.73
40849;2291.89
40850;2347.94
40851;2291.47
40854;2275.92
40855;2303.2
40856;2249.39
40857;2254.92
40858;2324.81
40861;2288.32
40862;2254
40863;2267.96
40864;2242.78
40865;2236.68
40868;2160.28
40869;2136.81
40870;2096.79
40871;2090.25
40872;2111.26
40875;2221.76
40876;2234.17
40877;2330.43
40878;2313.84
40879;2342.5
40882;2369.39
40883;2356.71
40884;2344.92
40885;2288.05
40886;2342.59
40889;2269.46
40890;2260.98
40891;2205.91
40892;2224.89
40893;2202.72
40896;2202.95
40897;2262.39
40898;2244.35
40899;2273.02
40900;2290.37
40904;2290.31
40905;2255.03
40906;2292.28
40907;2316.55
40910;2370.2
40911;2389.91
40912;2349.89
40913;2315.75
40914;2298.65
40917;2286.45
40918;2347.47
40919;2339.51
40920;2345.85
40921;2338.01
40924;2361.56
40925;2396.63
40926;2390.64
40927;2435.04
40928;2426.96
40931;2441.44
40932;2432.07
40933;2421.12
40934;2460.4
40935;2436.62
40938;2404.62
40939;2416.66
40940;2470.79
40941;2478.15
40942;2515.15
40945;2507.89
40946;2514.12
40947;2512.92
40948;2522.34
40949;2480.76
40952;2491.54
40953;2488.29
40954;2493.96
40955;2489.35
40956;2520.31
40959;2550.28
40960;2541.6
40961;2519
40962;2508.08
40963;2523.69
40966;2513.06
40967;2519.72
40968;2512.11
40969;2548.66
40970;2546.16
40973;2529.86
40974;2443.52
40975;2460.77
40976;2514.22
40977;2515.95
40980;2514.97
40981;2556.82
40982;2574.79
40983;2593.97
40984;2608.3
40987;2608.42
40988;2576.61
40989;2567.58
40990;2530.22
40991;2525.43
40994;2539.87
40995;2525.21
40996;2496.68
40997;2452.74
40998;2477.28
41001;2501.18
41002;2458.98
41003;2398.46
41004;2392.54
41009;2321.53
41010;2341.36
41011;2352.24
41012;2291.51
41015;2301.19
41016;2367.05
41017;2327.84
41018;2284.67
41019;2311.27
41022;2244.83
41023;2284.08
41024;2322.91
41025;2322.69
41026;2344.02
41029;2306.43
41030;2306.69
41031;2290.31
41032;2287.1
41033;2248.34
41036;2283.09
41037;2236.11
41038;2225.63
41039;2247.38
41040;2254.54
41043;2201.95
41044;2178.67
41045;2175.34
41046;2146.91
41047;2144.69
41050;2150.16
41051;2192.85
41052;2134.05
41053;2156.52
41054;2161.87
41057;2147.92
41058;2160.31
41059;2116.18
41060;2118.94
41061;2068.66
41064;2078.96
41065;2087.31
41066;2137.73
41067;2143.08
41068;2143.9
41071;2137.7
41072;2143.38
41073;2143.5
41074;2148.21
41075;2181.23
41078;2155.64
41079;2198.01
41080;2207.49
41081;2199.42
41082;2186.81
41085;2130.71
41086;2127.95
