value_date;date;alpha;rho;nu
44152;44183;0.167987502656796;-0.641736610477645;2.56442792807169
44153;44211;0.192970591564795;-0.640392398672238;1.94913126564539
44154;44225;0.192124799982209;-0.639745192678464;1.78392815907551
44155;44246;0.191664241241415;-0.638749500158148;1.60020833366507
44156;44274;0.203434446496555;-0.637405332576598;1.42811122615118
44157;44302;0.190815341351462;-0.636061184895427;1.30489599094847
44158;44365;0.189295509081653;-0.632974698867982;1.11654929865052
44159;44456;0.191554264121843;-0.628494502636979;0.953297265675727
44160;44547;0.190741001769343;-0.624014527505032;0.848982913185727
44161;44638;0.189234856070748;-0.619534773463961;0.774719884180401
44162;44729;0.191208696013974;-0.615055240505588;0.718265313905842
44163;44820;0.189776414596027;-0.610575928621734;0.673408379034286
44164;44911;0.199149620650714;-0.606096837804219;0.636612406650516
44165;45093;0.192526430937764;-0.597089557813729;0.578945006900514
44166;45275;0.190187609369246;-0.588083171841461;0.53552036577454
44167;45646;0.209903031940026;-0.569675109024228;0.47214392024362
44167;46010;0.192430695603704;-0.551569200007504;0.428826567790463
44167;46374;0.190322123812589;-0.533466905327703;0.396329378208736
44167;46738;0.191753729029156;-0.515368224444027;0.370745464516719
44167;47102;0.194611305381688;-0.497273156815745;0.34990187700934
44167;47473;0.207093693610397;-0.478833824709817;0.332171598551432
