T;alpha;beta;vol-of-vol;rho
1M;0.00831603908025606;0;1.33944164508458;-0.235440602915982
3M;0.00766805368708941;0;0.92171700969144;-0.184837827231371
6M;0.00767872014759063;0;0.692821726586365;-0.0609243557064699
9M;0.00771179937010036;0;0.580145032961514;0.00225625292366809
1Y;0.00769179651021326;0;0.465490803587665;0.0700729827110521
2Y;0.0076884178667069;0;0.349119144423649;0.185196258343238
3Y;0.00753753026686078;0;0.340174166050855;0.219051133505573
5Y;0.00735544954721156;0;0.296193840952603;0.245733767650192
7Y;0.00721752762332118;0;0.2480769960784;0.278841267840367
10Y;0.00708286021386599;0;0.201101176239882;0.293546521355204
15Y;0.00656675166899281;0;0.198807407107073;0.212994067328937
20Y;0.00618018295945851;0;0.171243994161504;0.198293213826385
30Y;0.00618018295945851;0;0.171243994161504;0.198293213826385
